file,np,t,total_time,local_compute,comm,reduction,epoch_transition
npt_nodes1_np16_t1_run1,16,,61.234444,41.670277,14.507888,5.041339,0.000025
npt_nodes1_np16_t1_run2,16,,60.502458,40.894300,14.488270,5.105004,0.000023
npt_nodes1_np16_t1_run3,16,,62.004075,40.547912,14.478998,6.962271,0.000025
npt_nodes1_np1_t16_run1,1,,208.505135,202.763461,4.889681,0.001709,0.000025
npt_nodes1_np1_t16_run2,1,,208.120352,202.384880,4.886323,0.001759,0.000028
npt_nodes1_np1_t16_run3,1,,208.141275,202.402838,4.890569,0.001732,0.000027
npt_nodes1_np2_t8_run1,2,,181.044856,170.768488,5.275130,4.931190,0.000021
npt_nodes1_np2_t8_run2,2,,180.782480,171.912978,5.304864,3.492695,0.000021
npt_nodes1_np2_t8_run3,2,,180.916805,171.519010,5.315725,4.010939,0.000021
npt_nodes1_np4_t4_run1,4,,126.920145,117.550925,9.189845,0.138879,0.000024
npt_nodes1_np4_t4_run2,4,,127.544472,117.592531,9.230851,0.679481,0.000026
npt_nodes1_np4_t4_run3,4,,127.070422,117.779026,9.230000,0.020919,0.000024
npt_nodes1_np8_t2_run1,8,,90.958089,79.992091,10.924028,0.012012,0.000030
npt_nodes1_np8_t2_run2,8,,90.626499,79.492689,10.936950,0.168210,0.000031
npt_nodes1_np8_t2_run3,8,,90.394953,79.384219,10.862917,0.117385,0.000028
npt_nodes2_np16_t2_run1,16,,64.564553,39.223361,16.888558,8.438534,0.000026
npt_nodes2_np16_t2_run2,16,,64.321730,39.458271,16.931085,7.917902,0.000031
npt_nodes2_np16_t2_run3,16,,64.366378,39.321477,16.891787,8.138330,0.000027
npt_nodes2_np2_t16_run1,2,,116.958172,101.073122,9.631257,6.177043,0.000033
npt_nodes2_np2_t16_run2,2,,115.097919,101.506394,9.653476,3.861357,0.000028
npt_nodes2_np2_t16_run3,2,,117.284661,101.064604,9.631172,6.512286,0.000029
npt_nodes2_np32_t1_run1,32,,50.152154,20.304638,19.234303,10.604733,0.000023
npt_nodes2_np32_t1_run2,32,,50.115784,20.203496,19.228871,10.675176,0.000029
npt_nodes2_np32_t1_run3,32,,50.037282,20.037102,19.079768,10.912210,0.000024
npt_nodes2_np4_t8_run1,4,,107.181697,85.934824,20.782076,0.419804,0.000034
npt_nodes2_np4_t8_run2,4,,107.035547,85.606160,20.840481,0.544606,0.000032
npt_nodes2_np4_t8_run3,4,,107.284976,86.310784,20.787853,0.142549,0.000031
npt_nodes2_np8_t4_run1,8,,91.232100,58.670836,32.388772,0.150136,0.000026
npt_nodes2_np8_t4_run2,8,,91.277867,58.714696,32.415634,0.124945,0.000040
npt_nodes2_np8_t4_run3,8,,91.503860,59.010259,32.400959,0.070052,0.000024
npt_nodes4_np16_t4_run1,16,,58.000996,29.285145,19.166153,9.537762,0.000037
npt_nodes4_np16_t4_run2,16,,57.831910,30.159526,19.132527,8.528020,0.000029
npt_nodes4_np16_t4_run3,16,,57.950361,29.249125,19.152282,9.537159,0.000035
npt_nodes4_np32_t2_run1,32,,50.016455,19.881488,19.270960,10.856613,0.000030
npt_nodes4_np32_t2_run2,32,,50.028230,20.338906,19.349228,10.332566,0.000025
npt_nodes4_np32_t2_run3,32,,49.964665,20.115705,19.425549,10.415854,0.000030
npt_nodes4_np4_t16_run1,4,,69.942494,51.200559,16.912251,1.793012,0.000029
npt_nodes4_np4_t16_run2,4,,71.108963,51.340688,16.675232,3.057539,0.000031
npt_nodes4_np4_t16_run3,4,,69.534671,50.462808,16.835118,2.199190,0.000036
npt_nodes4_np64_t1_run1,64,,39.540732,10.037215,18.972407,10.526746,0.000034
npt_nodes4_np64_t1_run2,64,,39.549044,10.395139,18.957888,10.191764,0.000030
npt_nodes4_np64_t1_run3,64,,39.463409,10.047248,18.917920,10.493813,0.000022
npt_nodes4_np8_t8_run1,8,,71.613053,42.676037,28.842514,0.071846,0.000028
npt_nodes4_np8_t8_run2,8,,72.137345,43.170991,28.865745,0.076568,0.000033
npt_nodes4_np8_t8_run3,8,,71.649130,42.696733,28.849504,0.079260,0.000034
npt_nodes8_np128_t1_run1,128,,34.784084,5.107313,18.668098,11.006351,0.000028
npt_nodes8_np128_t1_run2,128,,34.803418,5.145654,18.787503,10.867788,0.000025
npt_nodes8_np128_t1_run3,128,,34.752003,5.118296,18.810110,10.821251,0.000026
npt_nodes8_np16_t8_run1,16,,59.455007,21.639836,24.056308,13.747945,0.000027
npt_nodes8_np16_t8_run2,16,,59.386902,22.009756,24.084701,13.281479,0.000027
npt_nodes8_np16_t8_run3,16,,59.455545,22.112409,24.087410,13.244665,0.000023
npt_nodes8_np32_t4_run1,32,,49.593505,14.815657,22.417169,12.354393,0.000031
npt_nodes8_np32_t4_run2,32,,49.661426,14.690286,22.440840,12.524127,0.000034
npt_nodes8_np32_t4_run3,32,,49.488927,14.880183,22.363277,12.239326,0.000031
npt_nodes8_np64_t2_run1,64,,41.836378,10.225501,17.136694,14.470849,0.000027
npt_nodes8_np64_t2_run2,64,,41.810526,10.036351,17.141429,14.629406,0.000030
npt_nodes8_np64_t2_run3,64,,41.849166,10.124491,17.145856,14.575276,0.000036
npt_nodes8_np8_t16_run1,8,,48.106138,25.876125,22.022657,0.188468,0.000028
npt_nodes8_np8_t16_run2,8,,49.060164,25.880391,21.941771,1.217457,0.000030
npt_nodes8_np8_t16_run3,8,,48.311774,25.937441,22.032707,0.322580,0.000021
